Rank	Node
660	frontier04567
661	frontier04568
662	frontier04573
663	frontier04667
664	frontier04668
665	frontier04672
666	frontier04674
667	frontier04675
668	frontier04676
669	frontier04677
670	frontier04678
671	frontier04679
672	frontier04680
673	frontier04681
674	frontier04682
675	frontier04683
676	frontier04684
677	frontier04686
678	frontier04687
679	frontier04689
680	frontier04690
681	frontier04692
682	frontier04695
683	frontier04696
684	frontier04817
685	frontier04819
686	frontier04824
687	frontier04832
688	frontier04833
689	frontier04835
690	frontier04837
691	frontier04838
692	frontier04839
693	frontier04840
694	frontier04843
695	frontier04844
696	frontier04845
697	frontier04846
698	frontier04847
699	frontier04848
700	frontier04849
701	frontier04850
702	frontier04851
703	frontier04852
704	frontier04859
705	frontier04905
706	frontier04906
707	frontier04907
708	frontier04908
709	frontier04909
710	frontier04910
711	frontier04911
712	frontier04912
713	frontier04915
714	frontier04916
715	frontier04918
716	frontier04919
717	frontier04920
718	frontier04926
719	frontier04935
720	frontier04941
721	frontier04943
722	frontier04944
723	frontier04945
724	frontier04954
725	frontier04958
726	frontier05042
727	frontier05049
728	frontier05051
729	frontier05053
730	frontier05055
731	frontier05056
732	frontier05058
733	frontier05064
734	frontier05065
735	frontier05066
736	frontier05067
737	frontier05068
738	frontier05075
739	frontier05076
740	frontier05082
741	frontier05087
742	frontier05088
743	frontier05090
744	frontier05094
745	frontier05095
746	frontier05096
747	frontier05177
748	frontier05178
749	frontier05179
750	frontier05180
751	frontier05184
752	frontier05191
753	frontier05194
754	frontier05198
755	frontier05199
756	frontier05200
757	frontier05202
758	frontier05203
759	frontier05204
760	frontier05206
761	frontier05207
762	frontier05209
763	frontier05210
764	frontier05211
765	frontier05213
766	frontier05219
767	frontier05221
768	frontier05291
769	frontier05299
770	frontier05301
771	frontier05302
772	frontier05303
773	frontier05304
774	frontier05305
775	frontier05308
776	frontier05309
777	frontier05310
778	frontier05312
779	frontier05313
780	frontier05314
781	frontier05319
782	frontier05322
783	frontier05330
784	frontier05331
785	frontier05332
786	frontier05341
787	frontier05346
788	frontier05348
789	frontier05415
790	frontier05422
791	frontier05424
792	frontier05425
793	frontier05426
794	frontier05427
795	frontier05428
796	frontier05432
797	frontier05436
798	frontier05442
799	frontier05444
800	frontier05450
801	frontier05452
802	frontier05453
803	frontier05454
804	frontier05467
805	frontier05472
806	frontier05473
807	frontier05475
808	frontier05476
809	frontier05480
810	frontier05551
811	frontier05553
812	frontier05554
813	frontier05556
814	frontier05557
815	frontier05558
816	frontier05567
817	frontier05569
818	frontier05572
819	frontier05573
820	frontier05575
821	frontier05579
822	frontier05581
823	frontier05584
824	frontier05585
825	frontier05587
826	frontier05589
827	frontier05590
828	frontier05601
829	frontier05604
830	frontier05606
831	frontier05707
832	frontier05709
833	frontier05710
834	frontier05713
835	frontier05714
836	frontier05715
837	frontier05716
838	frontier05718
839	frontier05719
840	frontier05720
841	frontier05721
842	frontier05723
843	frontier05731
844	frontier05735
845	frontier05737
846	frontier05745
847	frontier05746
848	frontier05747
849	frontier05748
850	frontier05749
851	frontier05750
852	frontier05809
853	frontier05810
854	frontier05811
855	frontier05821
856	frontier05822
857	frontier05823
858	frontier05824
859	frontier05825
860	frontier05837
861	frontier05842
862	frontier05852
863	frontier05856
864	frontier05857
865	frontier05862
866	frontier05863
867	frontier05865
868	frontier05871
869	frontier05872
870	frontier05873
871	frontier05874
872	frontier05875
873	frontier05936
874	frontier05937
875	frontier05938
876	frontier05946
877	frontier05947
878	frontier05948
879	frontier05949
880	frontier05952
881	frontier05953
882	frontier05964
883	frontier05965
884	frontier05966
885	frontier05967
886	frontier05969
887	frontier05972
888	frontier05977
889	frontier05978
890	frontier05980
891	frontier05983
892	frontier05984
893	frontier06060
894	frontier06062
895	frontier06067
896	frontier06068
897	frontier06069
898	frontier06070
899	frontier06072
900	frontier06074
901	frontier06075
902	frontier06086
903	frontier06087
904	frontier06089
905	frontier06090
906	frontier06093
907	frontier06120
908	frontier06124
909	frontier06125
910	frontier06129
911	frontier06130
912	frontier06131
913	frontier06193
914	frontier06194
915	frontier06205
916	frontier06208
917	frontier06217
918	frontier06222
919	frontier06223
920	frontier06224
921	frontier06226
922	frontier06228
923	frontier06231
924	frontier06232
925	frontier06233
926	frontier06234
927	frontier06235
928	frontier06237
929	frontier06238
930	frontier06240
931	frontier06241
932	frontier06242
933	frontier06326
934	frontier06335
935	frontier06337
936	frontier06341
937	frontier06343
938	frontier06346
939	frontier06347
940	frontier06350
941	frontier06358
942	frontier06359
943	frontier06360
944	frontier06361
945	frontier06363
946	frontier06365
947	frontier06373
